Tire_Diameter,Steering_Diameter,Type
19.11462150919999,22.59765264635325,Nyanya
18.12410042228389,21.414184340742267,Nyanya
20.374533454691303,22.853386443329082,Nyanya
19.95527547623745,21.611171146691426,Nyanya
20.007653492600397,22.999329711239753,Nyanya
16.993869796897606,21.76292300911442,Nyanya
20.948670957721486,23.054666578768764,Nyanya
18.441485257906113,22.43608195512725,Nyanya
19.777954772792754,25.260491080691423,Nyanya
21.523799790617034,21.947103994583994,Nyanya
21.155332748190617,22.38286229162145,Nyanya
18.022437874527313,21.52057525828407,Nyanya
17.555482662997726,22.00268534075478,Nyanya
20.430346598847926,19.29816486585056,Nyanya
19.142055811594,22.465584016541033,Nyanya
18.49911855869792,23.34287421294941,Nyanya
19.621218546939048,22.396630004599356,Nyanya
18.837120422540558,20.686138542022622,Nyanya
19.701324137048744,21.198212847291,Nyanya
19.06698180781873,19.56980787284373,Nyanya
19.722387928328168,22.978924006865423,Nyanya
18.105467310863613,20.99348670729042,Nyanya
20.424462013132633,21.97129140978777,Nyanya
19.697623370732437,21.84626242767278,Nyanya
19.646297369403573,23.487727035658267,Nyanya
17.882330072988005,22.085281317965737,Nyanya
20.699632416644246,22.80889292010601,Nyanya
18.986283900633733,22.546463764147664,Nyanya
19.72804886242984,23.3594114199614,Nyanya
18.67717553625339,21.760876305497042,Nyanya
19.260889064682097,23.869615330504516,Nyanya
19.297127352119404,20.014337843600686,Nyanya
16.18006906799658,22.857473498001237,Nyanya
19.58244812465483,21.13338039133587,Nyanya
20.965341461722083,21.50725044722005,Nyanya
19.539780258991957,22.569414266901035,Nyanya
18.042291751110263,22.561402049847743,Nyanya
19.649961566153888,22.60642801369007,Nyanya
20.05948053017334,20.61384205589476,Nyanya
19.512466516190386,23.44903023127924,Nyanya
18.925872893569956,21.099352881772326,Nyanya
18.75785077417607,21.2327129097748,Nyanya
18.753690244633194,22.63789673816683,Nyanya
19.697776901011213,21.71327882523876,Nyanya
17.592876004940372,22.308260840562493,Nyanya
18.628126839144592,19.843399303367214,Nyanya
20.59560982301095,22.284324449519232,Nyanya
20.634195266577176,22.217831879512214,Nyanya
17.521852912198337,21.490141462235716,Nyanya
17.86858638873639,19.92592404023521,Nyanya
18.729379420472064,21.787191738518395,Nyanya
19.892589517114352,21.962626140201387,Nyanya
17.172525645947008,21.632771009669504,Nyanya
18.945191365082522,20.1638255355675,Nyanya
18.525820843420355,23.594734007316916,Nyanya
20.325964674285235,21.36113847205563,Nyanya
17.323091526030744,21.777795337077098,Nyanya
19.092540615493622,19.59052567878171,Nyanya
18.606390562651406,23.594855348698207,Nyanya
20.46979892627729,21.533450068265942,Nyanya
16.0,25.0,Nyanya
23.0,17.0,Nyanya
21.098462817074203,18.674088687299808,Wazii
22.12073744481665,18.989515023143994,Wazii
20.323695795283374,20.757583772231673,Wazii
21.963244987386545,17.926464714924695,Wazii
18.93867454405886,17.661840931376876,Wazii
21.550986657571315,18.91280135123685,Wazii
22.572242166519654,19.663656027937673,Wazii
20.41958315278197,19.463666571680882,Wazii
22.1188816202984,19.360679175692997,Wazii
22.833922652193785,19.034131981511578,Wazii
20.74515816194598,19.786540026983918,Wazii
20.66247171415014,16.086327557955027,Wazii
20.101706254167695,18.24919469491226,Wazii
20.490269844814865,18.90638759071655,Wazii
20.18464010972738,19.70453479910251,Wazii
20.100888901572773,20.489765140068567,Wazii
22.198835296711355,18.11490029183286,Wazii
20.21007397471174,20.457078625536568,Wazii
21.258521914719623,18.547438330798638,Wazii
21.038233435216238,18.870090217019314,Wazii
22.498094562571122,19.581432518797612,Wazii
20.496843767944988,18.796763920693227,Wazii
21.38114804665432,20.110117606666318,Wazii
21.791069702276108,18.595395854886856,Wazii
22.489749607320583,18.610465008719665,Wazii
20.482246654954732,20.051979954209333,Wazii
20.38210753126762,18.23687561173234,Wazii
19.938218946039946,19.24892909531666,Wazii
23.23629962084824,17.339517332306176,Wazii
22.38447243818039,20.81963935206119,Wazii
20.957798605687955,20.206551936236774,Wazii
22.931439151127055,21.750107199580754,Wazii
20.898136605634342,20.338363731446385,Wazii
21.72441047143353,17.870349770399518,Wazii
21.01017190172272,19.668649860160592,Wazii
21.39780545175047,18.081991237778194,Wazii
21.29176144253355,20.5780375070531,Wazii
20.57501462662335,17.89885971202243,Wazii
22.09249853808535,17.8508451157602,Wazii
21.7159524176839,17.390188546303314,Wazii
22.02769459350148,18.511620178736997,Wazii
21.320227185499345,18.310522175216427,Wazii
20.093430118222866,17.738350894160735,Wazii
22.709386066557702,20.989809104243523,Wazii
20.737443766432573,19.529880696386645,Wazii
21.364067028568414,19.412234539856712,Wazii
21.63538135882227,20.589164419247926,Wazii
21.35742171621762,19.256257792042934,Wazii
21.915417021230276,18.251319798494862,Wazii
22.0733779223165,17.299790257482343,Wazii
20.775166496952753,18.194942607656596,Wazii
22.62546734195565,20.505415600508464,Wazii
20.733096445838736,17.74466388431384,Wazii
21.336749048880787,19.353127237997878,Wazii
20.612321816395767,20.033925143085558,Wazii
20.32652647734921,19.28534484044325,Wazii
22.044191088790864,19.39898332879058,Wazii
24.121896897426044,19.655603912873428,Wazii
20.638240111679682,19.37928087182265,Wazii
22.21532157467808,20.60907417247328,Wazii
24.0,15.0,Wazii
19.0,22.0,Wazii
